,station_id_mean,weekday_mean,mean_pedestrians_count_weekday
0,47,0,58113.760869565216
1,47,1,56440.296703296706
2,47,2,56405.8
3,47,3,59333.704545454544
4,47,4,70926.80681818182
5,47,5,103096.41573033707
6,47,6,20712.355555555554
7,48,0,43389.641304347824
8,48,1,42799.12087912088
9,48,2,42408.23333333333
10,48,3,45273.14772727273
11,48,4,53257.03409090909
12,48,5,79913.11235955056
13,48,6,23889.644444444446
14,49,0,37021.80434782609
15,49,1,36280.93406593407
16,49,2,36953.822222222225
17,49,3,38010.48863636364
18,49,4,45972.829545454544
19,49,5,71940.10112359551
20,49,6,12454.144444444444
21,50,0,12622.551724137931
22,50,1,12552.988235294117
23,50,2,12764.5
24,50,3,13425.635294117646
25,50,4,17214.154761904763
26,50,5,27403.988235294117
27,50,6,5877.458823529411
28,51,0,26939.739130434784
29,51,1,26516.846153846152
30,51,2,26730.644444444446
31,51,3,27636.43181818182
32,51,4,33316.86363636364
33,51,5,47639.92134831461
34,51,6,13212.944444444445
35,52,0,22591.717391304348
36,52,1,21895.022222222222
37,52,2,22378.588888888888
38,52,3,23058.590909090908
39,52,4,28157.625
40,52,5,41229.88764044944
41,52,6,9397.166666666666
42,53,0,29477.630434782608
43,53,1,29096.13186813187
44,53,2,29232.222222222223
45,53,3,30865.772727272728
46,53,4,37647.90909090909
47,53,5,61101.079545454544
48,53,6,11685.666666666666
49,54,0,25567.564705882352
50,54,1,25267.20731707317
51,54,2,24902.780487804877
52,54,3,26401.8125
53,54,4,30737.0375
54,54,5,47824.234567901236
55,54,6,6899.40243902439
56,55,0,28790.130434782608
57,55,1,28671.384615384617
58,55,2,30612.79775280899
59,55,3,32114.897727272728
60,55,4,41479.295454545456
61,55,5,70842.2808988764
62,55,6,25679.370786516854
63,56,0,13376.619565217392
64,56,1,13188.956043956045
65,56,2,13645.744444444445
66,56,3,14229.125
67,56,4,16983.272727272728
68,56,5,26908.47191011236
69,56,6,7316.444444444444
70,57,0,16580.14606741573
71,57,1,17167.58620689655
72,57,2,16901.080459770114
73,57,3,17587.976470588233
74,57,4,19710.917647058825
75,57,5,27399.279069767443
76,57,6,8557.344827586207
77,58,0,25075.533333333333
78,58,1,26260.01111111111
79,58,2,28226.465909090908
80,58,3,28261.69318181818
81,58,4,32951.01136363636
82,58,5,38676.0
83,58,6,17192.955056179777
84,59,0,4877.858695652174
85,59,1,4806.571428571428
86,59,2,4908.3
87,59,3,5105.5
88,59,4,5915.386363636364
89,59,5,8154.359550561798
90,59,6,2289.211111111111
91,63,0,61455.836956521736
92,63,1,59793.17582417582
93,63,2,59163.23333333333
94,63,3,62501.48863636364
95,63,4,72011.84090909091
96,63,5,91666.20224719102
97,63,6,23922.644444444446
98,64,0,27148.619565217392
99,64,1,25755.164835164836
100,64,2,25883.422222222223
101,64,3,27433.636363636364
102,64,4,32594.034090909092
103,64,5,47010.89887640449
104,64,6,4266.921348314607
105,65,0,29665.684782608696
106,65,1,29876.373626373625
107,65,2,29887.11111111111
108,65,3,31974.170454545456
109,65,4,36814.90909090909
110,65,5,50060.8202247191
111,65,6,14344.314606741573
112,67,0,36453.29508196721
113,67,1,36061.11666666667
114,67,2,36120.852459016394
115,67,3,37645.666666666664
116,67,4,41566.73333333333
117,67,5,58422.254237288136
118,67,6,12623.166666666666
119,68,0,29395.684782608696
120,68,1,30294.68131868132
121,68,2,28782.32222222222
122,68,3,30830.988636363636
123,68,4,36964.306818181816
124,68,5,47246.556818181816
125,68,6,13940.47191011236
126,69,0,30490.76923076923
127,69,1,32703.933333333334
128,69,2,29728.144444444446
129,69,3,31617.227272727272
130,69,4,40567.78409090909
131,69,5,51739.25842696629
132,69,6,11732.522222222222
133,71,0,8468.869565217392
134,71,1,10714.175824175823
135,71,2,8903.322222222223
136,71,3,8822.28409090909
137,71,4,12159.90909090909
138,71,5,19272.0
139,71,6,5661.455555555555
140,72,0,13608.45054945055
141,72,1,13643.681318681318
142,72,2,12923.833333333334
143,72,3,13316.477272727272
144,72,4,15572.022727272728
145,72,5,22779.20224719101
146,72,6,3912.1348314606744
147,73,0,77104.34782608696
148,73,1,76291.81318681319
149,73,2,76952.14444444445
150,73,3,81430.23863636363
151,73,4,99699.23863636363
152,73,5,137254.39325842698
153,73,6,46262.177777777775
154,74,0,11222.641304347826
155,74,1,11587.362637362638
156,74,2,11348.433333333332
157,74,3,12271.443181818182
158,74,4,13863.96590909091
159,74,5,16414.112359550563
160,74,6,7671.134831460674
161,75,0,38595.03333333333
162,75,1,36778.677777777775
163,75,2,36471.931818181816
164,75,3,37671.27272727273
165,75,4,43392.420454545456
166,75,5,66471.3908045977
167,75,6,15020.65909090909
168,76,0,43316.67415730337
169,76,1,42835.5393258427
170,76,2,44242.10227272727
171,76,3,46720.22988505747
172,76,4,57504.24137931035
173,76,5,95103.57471264368
174,76,6,26797.735632183907
175,77,0,36151.42391304348
176,77,1,35550.26373626374
177,77,2,36135.4
178,77,3,37937.875
179,77,4,46231.03409090909
180,77,5,73261.47191011236
181,77,6,19974.752808988764
182,78,0,14212.413793103447
183,78,1,14575.8
184,78,2,18034.133333333335
185,78,3,14765.75
186,78,4,16411.0
187,78,5,34167.71428571428
188,78,6,9309.642857142857
189,79,0,36403.97802197802
190,79,1,34987.08791208791
191,79,2,35014.52222222222
192,79,3,36014.73863636364
193,79,4,42002.27272727273
194,79,5,56338.4606741573
195,79,6,10708.921348314607
196,81,0,40652.010869565216
197,81,1,38309.64835164835
198,81,2,38922.91111111111
199,81,3,41169.21590909091
200,81,4,48420.27272727273
201,81,5,66725.53932584269
202,81,6,15603.741573033707
203,84,0,11401.72619047619
204,84,1,11286.265060240963
205,84,2,11369.780487804877
206,84,3,11900.20987654321
207,84,4,14123.215189873417
208,84,5,19553.864197530864
209,84,6,4527.3875
210,85,0,17638.33734939759
211,85,1,17479.89024390244
212,85,2,16517.59259259259
213,85,3,17563.4875
214,85,4,21434.177215189873
215,85,5,33241.5375
216,85,6,4066.9620253164558
217,86,0,25306.225806451614
218,86,1,25477.32786885246
219,86,2,25384.75
220,86,3,26157.90322580645
221,86,4,29705.213114754097
222,86,5,43057.80327868852
223,86,6,11375.966666666667
224,87,0,30143.410256410258
225,87,1,30033.923076923078
226,87,2,29761.46052631579
227,87,3,31376.532467532466
228,87,4,35678.67105263158
229,87,5,44091.81333333333
230,87,6,13011.947368421053
231,88,0,21671.85714285714
232,88,1,20753.763157894737
233,88,2,20983.256756756757
234,88,3,22420.847222222223
235,88,4,28587.569444444445
236,88,5,47501.54794520548
237,88,6,5879.6164383561645
238,89,0,11725.0
239,89,1,11874.197368421053
240,89,2,12338.72972972973
241,89,3,13215.287671232876
242,89,4,17693.569444444445
243,89,5,29018.80821917808
244,89,6,12115.616438356165
245,90,0,27441.986666666668
246,90,1,26586.369863013697
247,90,2,26575.76388888889
248,90,3,28687.563380281692
249,90,4,36347.55072463768
250,90,5,58402.614285714284
251,90,6,9249.9
252,91,0,19272.027777777777
253,91,1,18825.76056338028
254,91,2,18746.085714285713
255,91,3,20540.666666666668
256,91,4,22369.44927536232
257,91,5,26543.956521739132
258,91,6,6595.838235294118
259,92,0,32235.01388888889
260,92,1,31005.535211267605
261,92,2,30965.9
262,92,3,34262.34782608696
263,92,4,39221.884057971016
264,92,5,49454.942028985504
265,92,6,12305.31884057971
266,93,0,13670.367647058823
267,93,1,13474.89552238806
268,93,2,13406.363636363636
269,93,3,14736.742424242424
270,93,4,15615.19696969697
271,93,5,18289.876923076925
272,93,6,4477.0
273,94,0,12971.686567164179
274,94,1,12600.742424242424
275,94,2,12812.461538461539
276,94,3,13776.984126984127
277,94,4,15046.904761904761
278,94,5,18876.8125
279,94,6,8062.630769230769
280,95,0,28953.931034482757
281,95,1,28322.431034482757
282,95,2,28331.684210526317
283,95,3,29491.553571428572
284,95,4,33899.92857142857
285,95,5,51340.163636363635
286,95,6,13770.218181818182
287,96,0,17921.0
288,96,1,17684.492537313432
289,96,2,17519.030303030304
290,96,3,18714.890625
291,96,4,22224.140625
292,96,5,35801.421875
293,96,6,9703.430769230768
294,97,0,21895.672727272726
295,97,1,21167.37037037037
296,97,2,21825.754716981133
297,97,3,23284.132075471698
298,97,4,26836.11320754717
299,97,5,37212.03703703704
300,97,6,8837.981818181817
301,98,0,23972.744680851065
302,98,1,23332.760869565216
303,98,2,23887.51111111111
304,98,3,26155.088888888888
305,98,4,29578.59574468085
306,98,5,40198.36170212766
307,98,6,7652.340909090909
308,100,0,17777.56923076923
309,100,1,17898.061538461538
310,100,2,19058.84375
311,100,3,18759.725806451614
312,100,4,21432.629032258064
313,100,5,34087.532258064515
314,100,6,9191.387096774193
315,102,0,17201.275862068964
316,102,1,17538.56140350877
317,102,2,17413.964912280702
318,102,3,18071.49090909091
319,102,4,20718.436363636363
320,102,5,27587.854545454546
321,102,6,8298.036363636364
322,103,0,13523.901960784313
323,103,1,13194.34693877551
324,103,2,12306.489795918367
325,103,3,12677.583333333334
326,103,4,15502.234042553191
327,103,5,22219.0
328,103,6,1317.4166666666667
329,104,0,11579.931034482759
330,104,1,11017.464285714286
331,104,2,10601.232142857143
332,104,3,10911.296296296296
333,104,4,12620.907407407407
334,104,5,18429.962962962964
335,104,6,3357.5555555555557
336,107,0,11836.6875
337,107,1,11649.8125
338,107,2,11350.96875
339,107,3,11838.566666666668
340,107,4,14397.566666666668
341,107,5,22059.137931034482
342,107,6,4595.741935483871
343,108,0,24388.134615384617
344,108,1,25021.117647058825
345,108,2,23807.745098039217
346,108,3,24631.591836734693
347,108,4,30437.183673469386
348,108,5,43904.510204081635
349,108,6,8733.92
350,109,0,11911.627450980392
351,109,1,13273.877551020409
352,109,2,12785.673469387755
353,109,3,13004.617021276596
354,109,4,14535.510638297872
355,109,5,21796.382978723403
356,109,6,10114.375
357,110,0,10082.057692307691
358,110,1,9656.470588235294
359,110,2,9433.921568627451
360,110,3,9730.040816326531
361,110,4,10584.081632653062
362,110,5,11551.895833333334
363,110,6,4762.72
364,111,0,13027.48076923077
365,111,1,11498.411764705883
366,111,2,11646.745098039215
367,111,3,13759.0
368,111,4,13741.918367346938
369,111,5,17413.469387755104
370,111,6,4257.18
371,114,0,5650.846153846154
372,114,1,5789.431372549019
373,114,2,5902.803921568628
374,114,3,5785.2040816326535
375,114,4,6540.571428571428
376,114,5,7094.775510204082
377,114,6,2564.74
378,116,0,10013.617021276596
379,116,1,9142.355555555556
380,116,2,8415.195652173914
381,116,3,9265.818181818182
382,116,4,11087.181818181818
383,116,5,15385.6
384,116,6,4877.822222222222
385,117,0,25638.634920634922
386,117,1,24992.666666666668
387,117,2,27117.90322580645
388,117,3,26721.25806451613
389,117,4,31868.225806451614
390,117,5,51794.1
391,117,6,6220.9672131147545
392,118,0,20617.0625
393,118,1,20825.4375
394,118,2,20419.791666666668
395,118,3,22045.630434782608
396,118,4,25196.911111111112
397,118,5,39173.444444444445
398,118,6,15788.195652173914
399,122,0,18605.66
400,122,1,18836.86274509804
401,122,2,18193.235294117647
402,122,3,18190.94
403,122,4,21736.645833333332
404,122,5,32337.104166666668
405,122,6,7237.428571428572
406,123,0,12169.75
407,123,1,12436.3125
408,123,2,12134.666666666666
409,123,3,13097.869565217392
410,123,4,14540.533333333333
411,123,5,20245.244444444445
412,123,6,5954.195652173913
413,125,0,31303.382978723403
414,125,1,31116.340425531915
415,125,2,29216.659574468085
416,125,3,31175.590909090908
417,125,4,35579.83720930233
418,125,5,53927.181818181816
419,125,6,18290.11111111111
420,126,0,9479.266666666666
421,126,1,9787.533333333333
422,126,2,9783.31111111111
423,126,3,10193.777777777777
424,126,4,12025.40909090909
425,126,5,17133.785714285714
426,126,6,5670.681818181818
427,127,0,15582.760869565218
428,127,1,15854.804347826086
429,127,2,15629.41304347826
430,127,3,16257.173913043478
431,127,4,16952.82222222222
432,127,5,25369.116279069767
433,127,6,5125.266666666666
434,128,0,17923.869565217392
435,128,1,18355.67391304348
436,128,2,17827.543478260868
437,128,3,17960.934782608696
438,128,4,21019.155555555557
439,128,5,32777.11627906977
440,128,6,7004.444444444444
441,129,0,15575.282608695652
442,129,1,15642.391304347826
443,129,2,14848.847826086956
444,129,3,16600.043478260868
445,129,4,18689.044444444444
446,129,5,29581.325581395347
447,129,6,8100.644444444444
448,130,0,17401.108695652172
449,130,1,17308.347826086956
450,130,2,16082.95652173913
451,130,3,17540.565217391304
452,130,4,21172.244444444445
453,130,5,31315.488372093023
454,130,6,5688.488888888889
455,131,0,15785.055555555555
456,131,1,15166.864864864865
457,131,2,16429.684210526317
458,131,3,15643.21052631579
459,131,4,18373.567567567567
460,131,5,26505.558823529413
461,131,6,5799.081081081081
462,132,0,15420.173913043478
463,132,1,14921.45652173913
464,132,2,14563.54347826087
465,132,3,15538.695652173914
466,132,4,20139.133333333335
467,132,5,25567.372093023256
468,132,6,10102.733333333334
469,134,0,19006.81081081081
470,134,1,20060.11111111111
471,134,2,18690.305555555555
472,134,3,20922.285714285714
473,134,4,22083.20588235294
474,134,5,33612.62857142857
475,134,6,5787.666666666667
476,135,0,29439.255319148935
477,135,1,29053.9375
478,135,2,28506.5625
479,135,3,29328.5
480,135,4,34072.666666666664
481,135,5,48461.57777777778
482,135,6,11217.304347826086
483,138,0,16544.20930232558
484,138,1,16243.15909090909
485,138,2,15898.906976744185
486,138,3,16505.073170731706
487,138,4,19550.125
488,138,5,30076.275
489,138,6,8358.02380952381
490,139,0,26946.645161290322
491,139,1,25872.129032258064
492,139,2,24882.0
493,139,3,25603.0
494,139,4,29662.931034482757
495,139,5,48134.0
496,139,6,9938.733333333334
497,140,0,9078.046511627907
498,140,1,8992.545454545454
499,140,2,8974.333333333334
500,140,3,9395.025
501,140,4,10946.25641025641
502,140,5,18015.975
503,140,6,4327.380952380952
504,141,0,28413.0
505,141,1,27731.14285714286
506,141,2,27823.52380952381
507,141,3,28076.1
508,141,4,32542.25641025641
509,141,5,46759.46153846154
510,141,6,15046.731707317073
511,142,0,13964.904761904761
512,142,1,14079.238095238095
513,142,2,13855.048780487805
514,142,3,15213.875
515,142,4,17713.53846153846
516,142,5,22828.4358974359
517,142,6,11131.170731707318
518,143,0,31777.409090909092
519,143,1,31236.386363636364
520,143,2,30170.840909090908
521,143,3,32084.761904761905
522,143,4,38735.34146341463
523,143,5,52480.34146341463
524,143,6,16372.790697674418
525,144,0,17644.4358974359
526,144,1,17767.657894736843
527,144,2,16827.18918918919
528,144,3,16997.277777777777
529,144,4,19022.17142857143
530,144,5,29374.742857142857
531,144,6,7324.2972972972975
532,145,0,12122.636363636364
533,145,1,11154.060606060606
534,145,2,10589.09090909091
535,145,3,11066.516129032258
536,145,4,11765.84375
537,145,5,17224.1935483871
538,145,6,5166.0
539,146,0,31030.25
540,146,1,30186.875
541,146,2,30741.3
542,146,3,31458.42105263158
543,146,4,36770.32432432433
544,146,5,60165.24324324324
545,146,6,15024.871794871795
546,147,0,20315.358974358973
547,147,1,21101.325
548,147,2,20545.925
549,147,3,21794.57894736842
550,147,4,25464.243243243243
551,147,5,29695.277777777777
552,147,6,13514.394736842105
553,148,0,15832.923076923076
554,148,1,15276.794871794871
555,148,2,14390.975
556,148,3,14848.736842105263
557,148,4,17023.324324324323
558,148,5,21918.11111111111
559,148,6,4391.0
560,150,0,57005.0
561,150,1,52780.91891891892
562,150,2,51927.94594594595
563,150,3,56646.142857142855
564,150,4,63782.97142857143
565,150,5,100930.20588235294
566,150,6,23091.972222222223
567,151,0,8925.615384615385
