total	mainPratique	id_pdc_img	today	fin	filtre	publicMessage	option1	debutPeriode	lastDay	pictoPublic	idPdc	lat	logo	lon	pratique	nomOrganisme	photo	nom	current_year_default	moyD	lienPublic	pays	formule_site	debut	externalUrl	sig
285615	2	100012608	21/03/2020	null	0			01/01/2020	2290	totem_vert.png	100117680	49.406723	https://www.eco-visio.net/Logos/4586/1556292443839.png	8.69424	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Heidelberg_2 (DE)	1	3570	100117680	fr	0	01/01/2013	https://www.eco-compteur.com	1
37851	2	100008949	21/03/2020	null	0			01/01/2020	428	totem_vert.png	100117687	47.6197	https://www.eco-visio.net/Logos/4586/1556292443839.png	7.65932	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Loerrach (DE)	1	473	100117687	fr	0	01/01/2013	https://www.eco-compteur.com	1
92606	2	100011532	21/03/2020	null	0			01/01/2020	1587	totem_vert.png	100117704	49.139652	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.214609	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Heilbronn (DE)	1	1158	100117704	fr	0	01/01/2013	https://www.eco-compteur.com	1
64369	2	100013457	21/03/2020	null	0			01/01/2020	1005	totem_vert.png	100117707	48.64519	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.451567	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Kirchheim u. Teck (DE)	1	805	100117707	fr	0	01/01/2013	https://www.eco-compteur.com	1
127563	2	100005395	21/03/2020	null	0			01/01/2020	2041	totem_vert.png	100117720	54.09152282594652	https://www.eco-visio.net/Logos/4586/1556292443839.png	12.149421548069586	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Rostock (DE)	1	1595	100117720	fr	0	01/01/2013	https://www.eco-compteur.com	1
150907	2	100016424	21/03/2020	null	0			01/01/2020	1590	totem_vert.png	100117728	51.220154	https://www.eco-visio.net/Logos/4586/1556292443839.png	6.7671213	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Duesseldorf (DE)	1	1886	100117728	fr	0	01/01/2013	https://www.eco-compteur.com	1
247208	2	100011600	21/03/2020	null	0			01/01/2020	963	totem_vert.png	100120745	51.55311	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.94008	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Goettingen_1 (DE)	1	3090	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
210997	2	100020630	21/03/2020	null	0			01/01/2020	1013	totem_vert.png	100125105	51.53692	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.92926	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Goettingen_2 (DE)	1	2637	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
126271	2	100023462	21/03/2020	null	0			01/01/2020	1714	totem_vert.png	100125116	49.448765	https://www.eco-visio.net/Logos/4586/1556292443839.png	11.082456	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Nuremberg (DE)	1	1578	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
45610	2	100005394	21/03/2020	null	0			01/01/2020	476	ecodisplay_vert.png	100125644	54.09034	https://www.eco-visio.net/Logos/4586/1556292443839.png	12.13605	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Rostock_2 (DE)	1	570	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
657678	2	100004164	21/03/2020	null	0			01/01/2020	5768	totem_gris.png	100125654	47.995213	https://www.eco-visio.net/Logos/4586/1556292443839.png	7.8407526	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Freiburg (DE)	1	8221	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
344727	2	100004165	21/03/2020	null	0			01/01/2020	3326	totem_gris.png	100126474	49.0072864	https://www.eco-visio.net/Logos/4586/1556292443839.png	8.4027153	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Karlsruhe (DE)	1	4309	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
230732	2	100003358	21/03/2020	null	0			01/01/2020	2832	totem_vert.png	100126475	48.518017	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.048007	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Tuebingen (DE)	1	2884	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
22180	2	100026875	21/03/2020	null	0			01/01/2020	153	totem_vert.png	100127787	51.08195	https://www.eco-visio.net/Logos/4586/1556292443839.png	6.3104796	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Erkelenz (DE)	1	277	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
136581	2	100029988	21/03/2020	null	0			01/01/2020	1263	totem_vert.png	100130798	52.3768927	https://www.eco-visio.net/Logos/4586/1556292443839.png	9.7269378	System.Object[]	Bike Count Display Interactive Map	System.Object[]	Hanover_1 (DE)	1	1707	null	fr	0	01/01/2013	https://www.eco-compteur.com	1
