idPdc	pratiques
100125116	101125116%3B102125116
100125644	
100135529	101135529%3B102135529%3B103135529%3B104135529%3B105135529%3B106135529%3B107135529%3B108135529
100147914	101147914%3B102147914
100147913	101147913%3B102147913
100147912	101147912%3B102147912
100130798	101130798%3B102130798%3B103130798%3B104130798
100131783	101131783%3B102131783%3B103131783%3B104131783
100131782	101131782%3B102131782%3B103131782%3B104131782%3B105131782%3B106131782
100132771	101132771%3B102132771%3B103132771%3B104132771
100147915	101147915%3B102147915
100147912	101147912%3B102147912
100117687	
100150048	101150048%3B102150048%3B103150048%3B104150048
100125654	101125654%3B102125654
100147909	101147909%3B102147909%3B103147909%3B104147909
100137483	101137483%3B102137483%3B103137483%3B104137483
100126475	101126475%3B102126475
100117707	
100145919	101145919%3B102145919
100135534	101135534%3B102135534%3B103135534%3B104135534
100143077	101143077%3B102143077%3B103143077%3B104143077%3B105143077%3B106143077
100126474	101126474%3B102126474
100117704	101117704%3B102117704%3B103117704%3B104117704%3B105117704%3B106117704%3B107117704%3B108117704
100150031	101150031%3B102150031
100117680	101117680%3B102117680
100125116	101125116%3B102125116
100141219	101141219%3B102141219%3B103141219%3B104141219%3B105141219%3B106141219
100156556	101156556%3B102156556%3B103156556%3B104156556
100147908	101147908%3B102147908
100130800	101130800%3B102130800%3B103130800%3B104130800
100157947	
100155346	101155346%3B102155346%3B103155346%3B104155346
100135012	101135012%3B102135012
100143085	101143085%3B102143085
100120745	101120745%3B102120745
100125105	101125105%3B102125105
100135011	
100143085	101143085%3B102143085
100143083	101143083%3B102143083%3B103143083%3B104143083%3B105143083%3B106143083
100143080	101143080%3B102143080%3B103143080%3B104143080%3B105143080%3B106143080
100117728	101117728%3B102117728
100127787	101127787%3B102127787
100150053	101150053%3B102150053%3B103150053%3B104150053
100133414	101133414%3B102133414
