name,city,stationid,lon,lat,earliest_measurement_at,latest_measurement_at,ags,ascii,distanceinmeters
Bretten (Baden),Bretten (Baden),14954,8.69424,49.406723,03/14/2017,03/20/2020,8215007.0,BRETTEN,272.2743408869664,
Irndorf,Irndorf,18863,7.65932,47.6197,03/14/2017,03/20/2020,8327027.0,IRNDORF,645.4032455313718,
Bartenbach,Bartenbach,81235,9.214609,49.139652,03/14/2017,03/20/2020,8119075.0,BARTENBACH,399.4719839225633,
Büsnau,Büsnau,32366,9.451567,48.64519,03/14/2017,03/20/2020,8111000.0,BUESNAU,547.2071064192047,
Dabendorf,Dabendorf,142758,12.149421548069586,54.09152282594652,03/14/2017,03/20/2020,12072477.0,DABENDORF,2399.2248141776554,
Schwei,Schwei,112645,6.7671213,51.220154,03/14/2017,03/20/2020,3461009.0,SCHWEI,1790.5984513044282,
Sprakensehl,Sprakensehl,107625,9.94008,51.55311,03/14/2017,03/20/2020,3151028.0,SPRAKENSEHL,1012.0729360383647,
Meinersen,Meinersen,20783,9.92926,51.53692,03/14/2017,03/20/2020,3151017.0,MEINERSEN,51.1977389218052,
Wampen,Wampen,136522,11.082456,49.448765,03/14/2017,03/20/2020,9479158.0,WAMPEN,684.9935397912467,
Wolletz,Wolletz,26410,12.13605,54.09034,03/14/2017,03/20/2020,12073008.0,WOLLETZ,2433.165820370858,
Rohrdorf bei Nagold,Rohrdorf bei Nagold,23260,7.8407526,47.995213,03/14/2017,03/20/2020,8235060.0,ROHRDORF,479.6740218159332,
Dischingen,Dischingen,15649,8.4027153,49.0072864,03/14/2017,03/20/2020,8135010.0,DISCHINGEN,1268.4223151131046,
Todtmoos,Todtmoos,25010,9.048007,48.518017,03/14/2017,03/20/2020,8337108.0,TODTMOOS,1705.8417286041426,
Roetgen, Eifel,Roetgen, Eifel,23229,6.3104796,51.08195,03/14/2017,03/20/2020,5334024.0,ROETGEN,459.0433948217508,
Baddeckenstedt,Baddeckenstedt,13888,9.7269378,52.3768927,03/14/2017,03/20/2020,3158002.0,BADDECKENSTEDT,829.3973772069891,
Werl,Werl,117497,8.75178334164736,50.112920247359,03/14/2017,03/20/2020,5974052.0,WERL,1788.5669138679918,
Baddeckenstedt,Baddeckenstedt,13888,9.739617,52.362137,03/14/2017,03/20/2020,3158002.0,BADDECKENSTEDT,1028.128891469645,
Baddeckenstedt,Baddeckenstedt,13888,9.735394,52.368595,03/14/2017,03/20/2020,3158002.0,BADDECKENSTEDT,259.35602202171816,
Baddeckenstedt,Baddeckenstedt,13888,9.72014839,52.36810119,03/14/2017,03/20/2020,3158002.0,BADDECKENSTEDT,928.1736681052435,
Langenfeld (Rheinland),Langenfeld (Rheinland),19926,7.10662675446168,50.7376321974817,03/14/2017,03/20/2020,5158020.0,LANGENFELD,671.6490573287014,
Gummersbach,Gummersbach,17682,7.6263055064911045,51.954617195327195,03/14/2017,03/20/2020,5374012.0,GUMMERSBACH,328.40930506740625,
Klostertor,Klostertor,26765,10.00848,53.55924,03/14/2017,03/20/2020,2000000.0,KLOSTERTOR,503.8017045109605,
Schönenberg,Schönenberg,121694,9.210372161982697,48.79912609299229,03/14/2017,03/20/2020,7336092.0,SCHOENENBERG,472.5296413432108,
Baienfurt,Baienfurt,14041,11.581845842611882,48.13047183798265,03/14/2017,03/20/2020,8436011.0,BAIENFURT,903.635806418914,
Wörnitzhofen,Wörnitzhofen,137310,11.005598164766512,49.592728628558696,03/14/2017,03/20/2020,9571218.0,WOERNITZHOFEN,356.4852549355903,
Bad Ditzenbach,Bad Ditzenbach,13889,9.192943238836945,48.89318853889096,03/14/2017,03/20/2020,8117006.0,BAD DITZENBACH,1034.7138039605554,
Neuharlingersiel,Neuharlingersiel,21452,6.881870965540844,51.43037260765898,03/14/2017,03/20/2020,3462010.0,NEUHARLINGERSIEL,132.03102800336748,
