Stadt;Lat;Long
Berlin;48.033;10.083
Hamburg;53.567;10.033
Munich;48.133;11.567
Cologne;49.05;12.867
Frankfurt am Main;50.117;8.683
Stuttgart;54.717;9.667
Düsseldorf;51.233;6.783
Leipzig;51.339;12.377
Dortmund;52.967;7.317
Essen;51.467;7.017
Bremen;53.083;8.817
Dresden;52.933;8.383
Hannover;52.383;9.733
Nürnberg;48.617;8.9
Duisburg;52.933;8.383
Bochum;51.483;7.217
Wuppertal;52.165;13.481
Bielefeld;52.017;8.533
Bonn;50.733;7.1
Münster;51.967;7.633
Karlsruhe;49.017;8.4
Mannheim;49.483;8.467
Augsburg;48.367;10.9
Wiesbaden;50.1;8.233
Mönchengladbach;51.2;6.433
Gelsenkirchen;51.55;7.1
Braunschweig;52.267;10.533
Kiel;54.333;10.133
Aachen;50.783;6.083
Chemnitz1;50.83;12.917
Halle (Saale);52;9.567
Magdeburg;52.122;11.619
Freiburg im Breisgau;48;7.85
Krefeld;51.333;6.567
Lübeck;53.867;10.683
Mainz;50;8.267
Erfurt;50.986;11.022
Oberhausen;50.633;9.85
Rostock;50.9;7.183
Kassel;51.317;9.5
Hagen;51.367;7.467
Saarbrücken;49.233;7
Hamm;51.683;7.817
Potsdam;52.401;13.049
Ludwigshafen am Rhein;51.767;7.433
Mülheim an der Ruhr;51.433;6.883
Oldenburg;53.15;8.217
Osnabrück;52.283;8.05
Leverkusen;51.033;7
Heidelberg;49.4;8.683
Solingen;51.167;7.083
Darmstadt;49.867;8.65
Herne;51.55;7.217
Neuss;51.2;6.683
Regensburg;49.017;12.1
Paderborn;51.717;8.75
Ingolstadt;48.767;11.433
Offenbach am Main;53.017;10.683
Würzburg;49.8;9.933
Fürth;49.65;8.783
Ulm;48.4;9.983
Heilbronn;49.15;9.217
Pforzheim;48.883;8.7
Wolfsburg;52.417;10.783
Göttingen;48.633;12.533
Bottrop;51.533;6.933
Reutlingen;48.5;9.217
Koblenz;50.35;7.6
Bremerhaven;53.55;8.583
Recklinghausen;51.617;7.2
Bergisch Gladbach;50.983;7.133
Erlangen;49.6;11
Jena;50.933;11.591
Remscheid;51.183;7.183
Trier;49.75;6.65
Salzgitter;52.117;10.417
Moers;51.45;6.633
Siegen;50.883;8.033
Hildesheim;52.15;9.95
Cottbus;51.766;14.335
Gütersloh;51.9;8.383
Kaiserslautern;49.45;7.767
Witten;51.433;7.333
Hanau;50.117;8.917
Schwerin;52.317;7.217
Gera;50.878;12.076
Esslingen am Neckar;48.75;9.3
Ludwigsburg;51.767;7.433
Iserlohn;51.383;7.7
Düren;50.8;6.483
Tübingen;50.017;11.95
Zwickau;50.72;12.5
Flensburg;54.783;9.433
Gießen;50.583;8.683
Ratingen;51.3;6.85
Lünen;51.617;7.533
Villingen-Schwenningen3;48.2;8.583
Konstanz;47.667;9.183
Marl;51.667;7.1
Worms;49.633;8.367
Velbert;51.333;7.05
Minden;52.3;8.917
Dessau-Roßlau2;51.835;12.236
Neumünster;54.067;9.983
Norderstedt;53.7;10.017
Delmenhorst;53.05;8.633
Bamberg;49.9;10.883
Viersen;51.25;6.4
Marburg;50.817;8.767
