,stadt,lat,lon,geometry,ags
0,Berlin,52.516667000000005,13.4,POINT (13.4 52.51666700000001),11000
1,Stuttgart,48.782343,9.180819,POINT (9.180819 48.782343),08111
2,Frankfurt,50.115520000000004,8.684167,POINT (8.684167 50.11552),06412
3,Mannheim,49.496706,8.479547,POINT (8.479547 49.496706),08222
4,Hamburg,53.575323,10.01534,POINT (10.01534 53.575323),02000
5,Essen,51.45657,7.012282000000001,POINT (7.012282000000001 51.45657),05113
6,Duisburg,51.432469,6.765161,POINT (6.765161 51.432469),05112
7,Munich,48.15,11.583333,POINT (11.583333 48.15),09162
8,Düsseldorf,51.228304,6.793849000000001,POINT (6.793849000000001 51.228304),05111
9,Cologne,50.933333000000005,6.95,POINT (6.95 50.933333),05315
10,Wuppertal,51.270268,7.167553,POINT (7.167553 51.270268),05124
11,Saarbrücken,49.235396,6.9816460000000005,POINT (6.981646 49.235396),10041
12,Marienberg,49.486021,11.086155999999999,POINT (11.086156 49.486021),09564
13,Bremen,53.073789,8.826754,POINT (8.826753999999999 53.073789),04011
14,Hannover,52.38497,9.737141000000001,POINT (9.737141000000001 52.38497),03241
15,Bonn,50.73438,7.095485000000001,POINT (7.095485000000001 50.73438),05314
16,Dresden,51.048562,13.745794,POINT (13.745794 51.048562),14612
17,Wiesbaden,50.082582,8.249322,POINT (8.249321999999999 50.082582),06414
18,Dortmund,51.514942,7.465997,POINT (7.465997 51.514942),05913
19,Leipzig,51.344190000000005,12.386503999999999,POINT (12.386504 51.34419),14713
20,Heidelberg,49.404123,8.683733,POINT (8.683733 49.404123),08221
21,Karlsruhe,49.009365,8.40444,POINT (8.404439999999999 49.009365),08212
22,Augsburg,48.371538,10.898514,POINT (10.898514 48.371538),09761
23,Bielefeld,52.028332,8.542002,POINT (8.542002 52.028332),05711
24,Koblenz,50.353573,7.578835000000001,POINT (7.578835000000001 50.353573),07111
25,Altchemnitz,50.811536,12.912827,POINT (12.912827 50.811536),14511
26,Kassel,51.313782,9.484645,POINT (9.484645 51.313782),06611
27,Münster,51.961114,7.624239,POINT (7.624239 51.961114),05515
28,Kiel,54.312144999999994,10.135525999999999,POINT (10.135526 54.31214499999999),01002
29,Freiburg,47.996860999999996,7.84973,POINT (7.84973 47.996861),08311
30,Braunschweig,52.265939,10.526726,POINT (10.526726 52.265939),03101
31,Fürth,49.48121,10.96762,POINT (10.96762 49.48121),09563
32,Lübeck,53.86687,10.688367,POINT (10.688367 53.86687),01003
33,Osnabrück,52.272642,8.049799,POINT (8.049799 52.272642),03404
34,Magdeburg,52.127731,11.629163,POINT (11.629163 52.127731),15003
35,Potsdam,52.402246999999996,13.057122,POINT (13.057122 52.402247),12054
