,address_components,name,place_id,city
0,"[{'long_name': '128-134', 'short_name': '128-134', 'types': ['street_number']}, {'long_name': 'Rellinghauser Straße', 'short_name': 'Rellinghauser Str.', 'types': ['route']}, {'long_name': 'Stadtbezirke II', 'short_name': 'Stadtbezirke II', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45128', 'short_name': '45128', 'types': ['postal_code']}]","EDEKA Essen-Rüttenscheid, Rellinghauser Str.",ChIJTTUzYS3duEcR9qxKvhL2XhA,Essen
0,"[{'long_name': '1a', 'short_name': '1a', 'types': ['street_number']}, {'long_name': 'Limbecker Platz', 'short_name': 'Limbecker Pl.', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45127', 'short_name': '45127', 'types': ['postal_code']}]",Dm,ChIJ54wMVLjCuEcRewNNeMaZ_hk,Essen
0,"[{'long_name': '178', 'short_name': '178', 'types': ['street_number']}, {'long_name': 'Steeler Straße', 'short_name': 'Steeler Str.', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45138', 'short_name': '45138', 'types': ['postal_code']}]",REWE,ChIJDe8fxjfduEcR1H3g80bQ3FI,Essen
0,"[{'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Haedenkampstraße', 'short_name': 'Haedenkampstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45143', 'short_name': '45143', 'types': ['postal_code']}]",dm,ChIJd2R23JPCuEcR3_f48UEKYLA,Essen
0,"[{'long_name': '26', 'short_name': '26', 'types': ['street_number']}, {'long_name': 'Natorpstraße', 'short_name': 'Natorpstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45139', 'short_name': '45139', 'types': ['postal_code']}]",ALDI Essen-Ostviertel,ChIJ62_Ak0vduEcRQcciWlWBji8,Essen
0,"[{'long_name': '226', 'short_name': '226', 'types': ['street_number']}, {'long_name': 'Altendorfer Straße', 'short_name': 'Altendorfer Str.', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45143', 'short_name': '45143', 'types': ['postal_code']}]",ALDI,ChIJc2XxMJLCuEcRH-3pk5KrXeQ,Essen
0,"[{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Haedenkampstraße', 'short_name': 'Haedenkampstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45143', 'short_name': '45143', 'types': ['postal_code']}]",Action,ChIJ4XHitJPCuEcRBDw0QJCX0Yk,Essen
0,"[{'long_name': '42', 'short_name': '42', 'types': ['street_number']}, {'long_name': 'Papestraße', 'short_name': 'Papestraße', 'types': ['route']}, {'long_name': 'Stadtbezirke III', 'short_name': 'Stadtbezirke III', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45147', 'short_name': '45147', 'types': ['postal_code']}]",ALDI Essen-Holsterhausen,ChIJwTDLSsPCuEcR1_dxCBLeYI4,Essen
0,"[{'long_name': '61', 'short_name': '61', 'types': ['street_number']}, {'long_name': 'Stoppenberger Straße', 'short_name': 'Stoppenberger Str.', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45141', 'short_name': '45141', 'types': ['postal_code']}]",REWE Sliwik EH oHG,ChIJfaq_bKvCuEcRQQqA0Fa59Gw,Essen
0,"[{'long_name': '23', 'short_name': '23', 'types': ['street_number']}, {'long_name': 'Gutenbergstraße', 'short_name': 'Gutenbergstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45128', 'short_name': '45128', 'types': ['postal_code']}]",EDEKA Peine,ChIJSzzA6szCuEcRF6bpnM3-3LU,Essen
