name,city,stationid,lon,lat,earliest_measurement_at,latest_measurement_at,ags,ascii,distanceinmeters
Annastraße,Augsburg,251,10.8960397,48.3680965,2020-02-03 10:09:59,2020-03-20 22:42:43,9761,AUGSBURG,956.622719951587
Lange Straße,Oldenburg,209,8.2134416,53.14125229999999,2019-10-30 00:00:00,2020-03-20 22:47:16,3403,OLDENBURG,1017.1148721568264
Stiftstraße,Stuttgart,151,9.1777135,48.7763985,2019-06-08 00:00:00,2020-03-20 22:42:11,8111000,MITTE,163.0680485928641
Neustraße,Bocholt,253,6.6153668,51.8367724,2020-03-06 11:00:00,2020-03-20 22:49:25,5554008,BOCHOLT,158.50099696799222
Hohe Straße (Nord),Köln,168,6.9562851,50.9370811,2019-09-18 00:00:00,2020-03-20 22:45:08,5315,KOELN,610.0280337512756
Große Bleichen,Hamburg,93,9.988772,53.5526821,2018-10-25 00:00:00,2020-03-20 22:45:19,2000,HAMBURG,431.1192970919894
Schönbornstraße,Würzburg,135,9.9309795,49.7951609,2019-04-02 18:24:00,2020-03-20 22:48:03,9663,WUERZBURG,898.2039463088955
Holm,Flensburg,252,9.435369900000001,54.7843186,2020-02-11 00:00:00,2020-03-20 22:45:56,1001000,HOF,212.04155484058953
Sack,Braunschweig,131,10.5215254,52.264684,2019-06-01 00:00:00,2020-03-20 06:09:52,3101000,WESTSTADT,178.64677857860755
Hauptstraße (Süd),Erlangen,142,11.003382499999999,49.598945,2019-05-16 00:00:00,2020-03-20 22:43:35,9562000,ERLANGEN,143.43519054234284
Kaiserstraße,Nürnberg,89,11.075647300000002,49.4523195,2018-08-27 00:00:00,2020-03-20 22:44:21,9564,NUERNBERG,732.4521632777341
Schildergasse (Ost),Köln,160,6.9525662,50.9364177,2019-06-25 10:34:00,2020-03-20 22:46:49,5315,KOELN,390.9427106347953
"Krahnstraße (Mitte, Altstadt)",Osnabrück,109,8.0131,52.2983,2019-01-30 00:00:00,2020-03-20 22:42:53,3404000,WESTERBERG,2112.535854518405
Schlösserstraße,Erfurt,57,11.030757000000001,50.976779,2018-05-01 00:00:00,2020-03-20 22:36:55,16051,ERFURT,747.1065757092889
Hirschstraße,Ulm,146,9.9886346,48.3983084,2019-05-30 00:00:00,2020-03-20 22:49:00,8421000,ULM,862.3490654390574
Fleiner Straße,Heilbronn,139,9.218803300000001,49.140514200000005,2019-08-09 00:00:00,2020-03-20 22:47:47,8121,HEILBRONN,90.50942805954229
Kaiser-Joseph-Straße (Mitte),Freiburg,143,7.8497932,47.9947555,2019-05-01 00:00:00,2020-03-20 22:39:30,8311000,FREIBURG,217.4236439495794
Tauentzienstraße Südseite (West),Berlin,98,13.338831299999999,52.5031959,2018-11-09 00:00:00,2019-11-02 00:23:00,11000000,MITTE,2424.485250031066
Zeppelinstraße ,Köln,167,6.9488735,50.9373784,2019-09-18 00:00:00,2020-03-20 22:41:53,5315,KOELN,460.5685186157315
Bürgerturmstraße,Biberach an der Riß,250,9.789634399999999,48.0995511,2020-01-22 00:00:00,2020-03-20 22:31:41,8426,BIBERACH,430.3648366960894
Große Packhofstraße,Hannover,64,9.7375712,52.374372799999996,2018-05-01 00:00:00,2020-03-20 22:25:08,3241001,HANNOVER,523.7768536520836
Rheinstraße (West),Krefeld,145,6.566101400000001,51.333735600000004,2019-07-19 00:00:00,2020-03-20 22:49:16,5114,KREFELD,1455.8836732137231
Ernst-Ludwig-Straße,Darmstadt,104,8.653975,49.8717186,2019-01-21 00:00:00,2020-03-20 22:42:13,6411,DARMSTADT,348.94309588991354
Bahnhofstraße (Süd),Bielefeld,163,8.5313407,52.025841,2019-07-06 00:00:00,2020-03-20 22:42:29,5711,BIELEFELD,1099.1300098238164
Bürgermeister-Fischer-Straße,Augsburg,102,10.8960489,48.3665542,2019-01-15 00:00:00,2020-03-20 22:47:36,9761,AUGSBURG,944.769836573718
Schusterstraße,Mainz,71,8.2720029,50.0010043,2018-05-01 00:00:00,2020-03-20 22:32:40,7315,MAINZ,128.75031106619102
Stadthausstraße,Mainz,72,8.2704134,50.00099960000001,2018-05-01 00:00:00,2020-03-20 22:37:44,7315,MAINZ,121.88637724418777
Schildergasse (West),Köln,47,6.9525662,50.9364177,2018-05-01 00:00:00,2020-03-20 22:49:04,5315,KOELN,390.9427106347953
Königstraße (Süd),Stuttgart,77,9.1779047,48.778096000000005,2018-05-01 00:00:00,2020-03-20 22:47:40,8111000,MITTE,281.14365377068424
Kettwiger Straße,Essen,125,7.0129314,51.4550279,2019-04-06 00:00:00,2020-03-20 22:49:34,5113,ESSEN,872.4423733492558
Fleischstraße,Trier,140,6.638542999999999,49.755399700000005,2019-05-07 14:53:00,2020-03-20 22:57:26,7211000,HEILIGKREUZ,708.2642580705962
Große Straße (Süd),Osnabrück,153,8.0469258,52.274567700000006,2019-06-14 00:00:00,2020-03-20 22:36:53,3404,OSNABRUECK,837.1926944946947
Neuhauser Straße,München,73,11.5684488,48.138645399999994,2018-05-01 00:00:00,2020-03-20 22:49:30,9162,MUENCHEN,542.7564290413294
Königsallee Ostseite (Süd),Düsseldorf,56,6.779266000000001,51.2220574,2018-05-01 00:00:00,2020-03-20 22:43:20,5111000,DUESSELDORF,2305.233909726169
Ludwigstraße,Ingolstadt,123,11.4267115,48.7643061,2019-03-31 22:00:00,2020-03-20 22:08:16,9161,INGOLSTADT,552.6900696045714
Ludwigstraße,Passau,147,13.459396799999999,48.574408899999995,2019-06-04 00:00:00,2020-03-20 23:05:36,9275159,ANGER,430.0703845411592
Neuer Wall,Hamburg,91,9.9896769,53.551279099999995,2018-09-28 00:00:00,2020-03-20 22:41:37,2000000,HAMBURG-MITTE,317.77592767627243
Kaufingerstraße,München,165,11.5734265,48.1376146,2019-08-28 00:00:00,2020-03-20 22:48:51,9162,MUENCHEN,156.15793608188412
Zöllnerstraße,Celle,254,10.083537300000001,52.62437859999999,2020-03-05 23:00:00,2020-03-20 22:30:01,3351006,CELLE,1580.9178558582846
Planken (Ost),Mannheim,96,8.4687368,49.4867989,2018-11-06 13:00:00,2020-03-20 22:45:04,8222,MANNHEIM,335.5222610156723
Krahnstraße (Süd),Osnabrück,107,8.042482000000001,52.27634129999999,2019-08-01 00:00:00,2020-03-20 22:47:34,3404,OSNABRUECK,616.5591616879814
Große Straße (Mitte),Osnabrück,108,8.0469258,52.274567700000006,2019-01-30 00:00:00,2020-03-20 22:50:00,3404,OSNABRUECK,837.1926944946947
Karmarschstraße,Hannover,65,9.7369225,52.371405200000005,2018-05-01 00:00:00,2020-03-20 23:00:25,3241001,HANNOVER,272.8109684325434
Sternstraße,Bonn,52,7.0988679999999995,50.735683200000004,2018-05-01 00:00:00,2020-03-20 22:47:35,5314,BONN,276.8979501161568
