,station_id_mean,weekday_mean,mean_pedestrians_count_weekday
0,47,0.0,59801.72448979592
1,47,1.0,57232.36363636364
2,47,2.0,57564.41414141414
3,47,3.0,58616.0505050505
4,47,4.0,72488.37373737374
5,47,5.0,102860.55102040817
6,47,6.0,20425.19387755102
7,48,0.0,44721.9693877551
8,48,1.0,43354.26262626263
9,48,2.0,43375.919191919194
10,48,3.0,44962.57575757576
11,48,4.0,54265.78787878788
12,48,5.0,79945.37755102041
13,48,6.0,23804.724489795917
14,49,0.0,37958.92857142857
15,49,1.0,36547.57575757576
16,49,2.0,37674.767676767675
17,49,3.0,37904.14141414141
18,49,4.0,47604.35353535353
19,49,5.0,72577.26530612246
20,49,6.0,12353.357142857143
21,50,0.0,12243.785714285714
22,50,1.0,11812.0
23,50,2.0,12325.111111111111
24,50,3.0,12742.838383838383
25,50,4.0,16498.424242424244
26,50,5.0,25862.581632653062
27,50,6.0,5557.734693877551
28,51,0.0,27537.34693877551
29,51,1.0,26776.10101010101
30,51,2.0,27199.41414141414
31,51,3.0,27486.252525252527
32,51,4.0,34035.62626262626
33,51,5.0,47649.32653061225
34,51,6.0,13057.785714285714
35,52,0.0,23148.23469387755
36,52,1.0,21933.060606060608
37,52,2.0,22773.717171717173
38,52,3.0,22873.828282828283
39,52,4.0,28833.08080808081
40,52,5.0,41352.84693877551
41,52,6.0,9279.07142857143
42,53,0.0,29668.979591836734
43,53,1.0,29115.0202020202
44,53,2.0,29674.060606060608
45,53,3.0,30701.11111111111
46,53,4.0,38580.21212121212
47,53,5.0,60645.102040816324
48,53,6.0,11669.387755102041
49,54,0.0,23934.969387755104
50,54,1.0,23006.10101010101
51,54,2.0,23354.49494949495
52,54,3.0,24012.76767676768
53,54,4.0,29025.878787878788
54,54,5.0,43625.36734693877
55,54,6.0,6194.7959183673465
56,55,0.0,29003.183673469386
57,55,1.0,28708.070707070707
58,55,2.0,30690.777777777777
59,55,3.0,32373.555555555555
60,55,4.0,42661.52525252525
61,55,5.0,70893.44897959183
62,55,6.0,25546.85714285714
63,56,0.0,13793.30612244898
64,56,1.0,13363.878787878788
65,56,2.0,13789.868686868687
66,56,3.0,14084.060606060606
67,56,4.0,17270.575757575756
68,56,5.0,26828.173469387755
69,56,6.0,7250.734693877551
70,57,0.0,16218.897959183674
71,57,1.0,16609.343434343435
72,57,2.0,16510.323232323233
73,57,3.0,17092.343434343435
74,57,4.0,19480.89898989899
75,57,5.0,26701.98979591837
76,57,6.0,8393.918367346938
77,58,0.0,24951.428571428572
78,58,1.0,26256.555555555555
79,58,2.0,28465.08080808081
80,58,3.0,28734.757575757576
81,58,4.0,33493.82828282828
82,58,5.0,37946.397959183676
83,58,6.0,16876.948979591838
84,59,0.0,4982.34693877551
85,59,1.0,4855.333333333333
86,59,2.0,4983.424242424242
87,59,3.0,5097.555555555556
88,59,4.0,5986.111111111111
89,59,5.0,8293.397959183674
90,59,6.0,2339.0204081632655
91,63,0.0,62420.21428571428
92,63,1.0,60710.42424242424
93,63,2.0,59892.17171717172
94,63,3.0,62800.868686868685
95,63,4.0,73815.65656565657
96,63,5.0,92466.80612244898
97,63,6.0,24225.602040816328
98,64,0.0,27774.602040816328
99,64,1.0,26179.060606060608
100,64,2.0,26180.70707070707
101,64,3.0,27438.545454545456
102,64,4.0,33593.35353535353
103,64,5.0,47065.88775510204
104,64,6.0,4384.5
105,65,0.0,30045.255102040817
106,65,1.0,30232.444444444445
107,65,2.0,30219.08080808081
108,65,3.0,32190.252525252527
109,65,4.0,37756.92929292929
110,65,5.0,50305.37755102041
111,65,6.0,14207.561224489797
112,67,0.0,36749.393939393936
113,67,1.0,36216.01515151515
114,67,2.0,37055.393939393936
115,67,3.0,38098.62686567164
116,67,4.0,42879.97014925373
117,67,5.0,59270.80303030303
118,67,6.0,12495.227272727272
119,68,0.0,29810.0
120,68,1.0,30688.89898989899
121,68,2.0,29172.242424242424
122,68,3.0,30896.747474747473
123,68,4.0,37355.43434343435
124,68,5.0,46869.183673469386
125,68,6.0,13787.285714285714
126,69,0.0,30674.48979591837
127,69,1.0,32827.868686868685
128,69,2.0,30111.868686868685
129,69,3.0,31611.222222222223
130,69,4.0,41216.73737373737
131,69,5.0,52036.87755102041
132,69,6.0,11764.602040816326
133,71,0.0,8591.642857142857
134,71,1.0,10733.89898989899
135,71,2.0,9255.181818181818
136,71,3.0,9121.474747474747
137,71,4.0,13150.30303030303
138,71,5.0,19392.051020408162
139,71,6.0,5542.4795918367345
140,72,0.0,13763.020408163266
141,72,1.0,13802.222222222223
142,72,2.0,13238.454545454546
143,72,3.0,13210.363636363636
144,72,4.0,15637.787878787878
145,72,5.0,22644.45918367347
146,72,6.0,3836.4285714285716
147,73,0.0,79947.3469387755
148,73,1.0,77980.9797979798
149,73,2.0,78083.8686868687
150,73,3.0,81416.23232323233
151,73,4.0,100832.30303030302
152,73,5.0,137884.88775510204
153,73,6.0,46663.21428571428
154,74,0.0,11401.367346938776
155,74,1.0,11750.030303030304
156,74,2.0,11522.39393939394
157,74,3.0,12215.878787878788
158,74,4.0,13856.333333333334
159,74,5.0,16455.79591836735
160,74,6.0,7690.255102040816
161,75,0.0,38722.47959183674
162,75,1.0,36882.09090909091
163,75,2.0,36561.393939393936
164,75,3.0,37667.42424242424
165,75,4.0,44495.9494949495
166,75,5.0,65308.11224489796
167,75,6.0,14841.224489795919
168,76,0.0,43392.12244897959
169,76,1.0,42914.14141414141
170,76,2.0,44431.666666666664
171,76,3.0,46130.57575757576
172,76,4.0,56884.232323232325
173,76,5.0,92594.88775510204
174,76,6.0,26127.285714285714
175,77,0.0,37238.4693877551
176,77,1.0,36330.343434343435
177,77,2.0,37012.59595959596
178,77,3.0,38275.73737373737
179,77,4.0,47035.25252525252
180,77,5.0,73962.47959183673
181,77,6.0,19840.755102040817
182,78,0.0,8924.02
183,78,1.0,9415.450980392157
184,78,2.0,11149.039215686274
185,78,3.0,9261.43137254902
186,78,4.0,10102.156862745098
187,78,5.0,20710.96
188,78,6.0,5453.94
189,79,0.0,36802.683673469386
190,79,1.0,35386.47474747475
191,79,2.0,35775.16161616162
192,79,3.0,36041.79797979798
193,79,4.0,43014.27272727273
194,79,5.0,56721.448979591834
195,79,6.0,11483.255102040815
196,81,0.0,41743.73469387755
197,81,1.0,38999.77777777778
198,81,2.0,39218.42424242424
199,81,3.0,41014.36363636364
200,81,4.0,49759.84848484849
201,81,5.0,67385.4387755102
202,81,6.0,15333.0
203,84,0.0,11845.4
204,84,1.0,11472.1
205,84,2.0,11609.977777777778
206,84,3.0,11986.333333333334
207,84,4.0,14123.322222222223
208,84,5.0,19593.123595505618
209,84,6.0,4440.528089887641
210,85,0.0,18225.876404494382
211,85,1.0,17758.550561797754
212,85,2.0,16901.955056179777
213,85,3.0,17559.516853932586
214,85,4.0,22027.70786516854
215,85,5.0,33454.22727272727
216,85,6.0,3934.25
217,86,0.0,20154.976470588233
218,86,1.0,20349.1511627907
219,86,2.0,20306.96511627907
220,86,3.0,20797.023255813954
221,86,4.0,23954.662790697676
222,86,5.0,33885.964705882354
223,86,6.0,8618.082352941177
224,87,0.0,30070.482352941177
225,87,1.0,29990.6511627907
226,87,2.0,29594.86046511628
227,87,3.0,31578.116279069767
228,87,4.0,36488.79069767442
229,87,5.0,43228.64705882353
230,87,6.0,12358.670588235294
231,88,0.0,22566.29268292683
232,88,1.0,21347.085365853658
233,88,2.0,21723.548780487807
234,88,3.0,22473.378048780487
235,88,4.0,29391.51219512195
236,88,5.0,47688.444444444445
237,88,6.0,5805.024691358025
238,89,0.0,12078.719512195123
239,89,1.0,12114.329268292682
240,89,2.0,12466.926829268292
241,89,3.0,13336.036585365853
242,89,4.0,17851.963414634145
243,89,5.0,29041.62962962963
244,89,6.0,11925.864197530864
245,90,0.0,27364.073170731706
246,90,1.0,25864.39024390244
247,90,2.0,26309.853658536584
248,90,3.0,28319.219512195123
249,90,4.0,35690.79268292683
250,90,5.0,56313.22222222222
251,90,6.0,8779.555555555555
252,91,0.0,19835.766233766233
253,91,1.0,19237.714285714286
254,91,2.0,18840.532467532466
255,91,3.0,20267.493506493505
256,91,4.0,22780.55128205128
257,91,5.0,26681.766233766233
258,91,6.0,6509.428571428572
259,92,0.0,33354.72727272727
260,92,1.0,31690.064935064936
261,92,2.0,31202.285714285714
262,92,3.0,33783.7012987013
263,92,4.0,39966.07692307692
264,92,5.0,49728.22077922078
265,92,6.0,12290.857142857143
266,93,0.0,14009.876712328767
267,93,1.0,13739.082191780823
268,93,2.0,13470.890410958904
269,93,3.0,14504.0
270,93,4.0,15929.554054054053
271,93,5.0,18140.178082191782
272,93,6.0,4360.328767123287
273,94,0.0,13410.211267605633
274,94,1.0,12915.211267605633
275,94,2.0,13029.323943661971
276,94,3.0,13886.535211267606
277,94,4.0,15213.30985915493
278,94,5.0,18924.394366197183
279,94,6.0,8152.605633802817
280,95,0.0,26011.295774647886
281,95,1.0,25589.676056338027
282,95,2.0,25481.12676056338
