place,wd,hour,mean_count
Achternstraße Oldenburg,So,0,222.625
Achternstraße Oldenburg,So,1,180.125
Achternstraße Oldenburg,So,2,134.875
Achternstraße Oldenburg,So,3,101.875
Achternstraße Oldenburg,So,4,80.875
Achternstraße Oldenburg,So,5,56.875
Achternstraße Oldenburg,So,6,23.75
Achternstraße Oldenburg,So,7,29.125
Achternstraße Oldenburg,So,8,24
Achternstraße Oldenburg,So,9,55.375
Achternstraße Oldenburg,So,10,99.875
Achternstraße Oldenburg,So,11,160.875
Achternstraße Oldenburg,So,12,228.25
Achternstraße Oldenburg,So,13,282.375
Achternstraße Oldenburg,So,14,370.125
Achternstraße Oldenburg,So,15,418.375
Achternstraße Oldenburg,So,16,440.375
Achternstraße Oldenburg,So,17,331.875
Achternstraße Oldenburg,So,18,214.75
Achternstraße Oldenburg,So,19,148
Achternstraße Oldenburg,So,20,91.125
Achternstraße Oldenburg,So,21,65.625
Achternstraße Oldenburg,So,22,49.875
Achternstraße Oldenburg,So,23,21.625
Achternstraße Oldenburg,Mo,0,12.25
Achternstraße Oldenburg,Mo,1,8.875
Achternstraße Oldenburg,Mo,2,6
Achternstraße Oldenburg,Mo,3,3.625
Achternstraße Oldenburg,Mo,4,9.875
Achternstraße Oldenburg,Mo,5,31.375
Achternstraße Oldenburg,Mo,6,86.125
Achternstraße Oldenburg,Mo,7,248.75
Achternstraße Oldenburg,Mo,8,310.5
Achternstraße Oldenburg,Mo,9,521.5
Achternstraße Oldenburg,Mo,10,839.375
Achternstraße Oldenburg,Mo,11,1288.125
Achternstraße Oldenburg,Mo,12,1671.875
Achternstraße Oldenburg,Mo,13,1666.625
Achternstraße Oldenburg,Mo,14,1453.75
Achternstraße Oldenburg,Mo,15,1534.5
Achternstraße Oldenburg,Mo,16,1570
Achternstraße Oldenburg,Mo,17,1406
Achternstraße Oldenburg,Mo,18,887.625
Achternstraße Oldenburg,Mo,19,419.25
Achternstraße Oldenburg,Mo,20,173.75
Achternstraße Oldenburg,Mo,21,93.375
Achternstraße Oldenburg,Mo,22,66
Achternstraße Oldenburg,Mo,23,31.75
Achternstraße Oldenburg,Di,0,15.625
Achternstraße Oldenburg,Di,1,8.875
Achternstraße Oldenburg,Di,2,6.125
Achternstraße Oldenburg,Di,3,7.875
Achternstraße Oldenburg,Di,4,8.75
Achternstraße Oldenburg,Di,5,28.5
Achternstraße Oldenburg,Di,6,98.125
Achternstraße Oldenburg,Di,7,280.25
Achternstraße Oldenburg,Di,8,347.375
Achternstraße Oldenburg,Di,9,508.25
Achternstraße Oldenburg,Di,10,816.125
Achternstraße Oldenburg,Di,11,1208.125
Achternstraße Oldenburg,Di,12,1599.125
Achternstraße Oldenburg,Di,13,1603.875
Achternstraße Oldenburg,Di,14,1380.375
Achternstraße Oldenburg,Di,15,1452
Achternstraße Oldenburg,Di,16,1416.25
Achternstraße Oldenburg,Di,17,1357.625
Achternstraße Oldenburg,Di,18,923.75
Achternstraße Oldenburg,Di,19,400.5
Achternstraße Oldenburg,Di,20,191.625
Achternstraße Oldenburg,Di,21,99.375
Achternstraße Oldenburg,Di,22,65.375
Achternstraße Oldenburg,Di,23,41.375
Achternstraße Oldenburg,Mi,0,18.333333333333332
Achternstraße Oldenburg,Mi,1,54
Achternstraße Oldenburg,Mi,2,37.77777777777778
Achternstraße Oldenburg,Mi,3,30.88888888888889
Achternstraße Oldenburg,Mi,4,38.111111111111114
Achternstraße Oldenburg,Mi,5,49.77777777777778
Achternstraße Oldenburg,Mi,6,87
Achternstraße Oldenburg,Mi,7,264.77777777777777
Achternstraße Oldenburg,Mi,8,286.3333333333333
Achternstraße Oldenburg,Mi,9,483.3333333333333
Achternstraße Oldenburg,Mi,10,749.4444444444445
Achternstraße Oldenburg,Mi,11,1028.7777777777778
Achternstraße Oldenburg,Mi,12,1346.7777777777778
Achternstraße Oldenburg,Mi,13,1480.4444444444443
Achternstraße Oldenburg,Mi,14,1111.5555555555557
Achternstraße Oldenburg,Mi,15,1189.7777777777778
Achternstraße Oldenburg,Mi,16,1405
Achternstraße Oldenburg,Mi,17,1282.2222222222222
Achternstraße Oldenburg,Mi,18,832.1111111111111
Achternstraße Oldenburg,Mi,19,400.44444444444446
Achternstraße Oldenburg,Mi,20,205.11111111111111
Achternstraße Oldenburg,Mi,21,117.44444444444444
Achternstraße Oldenburg,Mi,22,87.33333333333333
Achternstraße Oldenburg,Mi,23,49.22222222222222
Achternstraße Oldenburg,Do,0,38.888888888888886
Achternstraße Oldenburg,Do,1,19.11111111111111
Achternstraße Oldenburg,Do,2,19.77777777777778
Achternstraße Oldenburg,Do,3,24.666666666666668
Achternstraße Oldenburg,Do,4,26.333333333333332
Achternstraße Oldenburg,Do,5,27.666666666666668
Achternstraße Oldenburg,Do,6,107.44444444444444
Achternstraße Oldenburg,Do,7,288.77777777777777
Achternstraße Oldenburg,Do,8,340.3333333333333
Achternstraße Oldenburg,Do,9,537.6666666666666
Achternstraße Oldenburg,Do,10,916.8888888888889
Achternstraße Oldenburg,Do,11,1247.6666666666667
Achternstraße Oldenburg,Do,12,1664.3333333333333
Achternstraße Oldenburg,Do,13,1737.111111111111
Achternstraße Oldenburg,Do,14,1523.3333333333333
Achternstraße Oldenburg,Do,15,1655.888888888889
Achternstraße Oldenburg,Do,16,1738.2222222222222
Achternstraße Oldenburg,Do,17,1593.7777777777778
Achternstraße Oldenburg,Do,18,1040
Achternstraße Oldenburg,Do,19,466.55555555555554
Achternstraße Oldenburg,Do,20,184.66666666666666
Achternstraße Oldenburg,Do,21,107.77777777777777
Achternstraße Oldenburg,Do,22,86.44444444444444
Achternstraße Oldenburg,Do,23,51.22222222222222
Achternstraße Oldenburg,Fr,0,25.88888888888889
Achternstraße Oldenburg,Fr,1,15.666666666666666
Achternstraße Oldenburg,Fr,2,11.222222222222221
Achternstraße Oldenburg,Fr,3,8.333333333333334
Achternstraße Oldenburg,Fr,4,10.333333333333334
Achternstraße Oldenburg,Fr,5,28.333333333333332
Achternstraße Oldenburg,Fr,6,83.22222222222223
Achternstraße Oldenburg,Fr,7,264.6666666666667
Achternstraße Oldenburg,Fr,8,325.77777777777777
Achternstraße Oldenburg,Fr,9,575.4444444444445
Achternstraße Oldenburg,Fr,10,956.2222222222222
Achternstraße Oldenburg,Fr,11,1477.2222222222222
Achternstraße Oldenburg,Fr,12,1799.4444444444443
Achternstraße Oldenburg,Fr,13,1876.4444444444443
Achternstraße Oldenburg,Fr,14,1905.4444444444443
Achternstraße Oldenburg,Fr,15,2081.4444444444443
Achternstraße Oldenburg,Fr,16,2121.6666666666665
Achternstraße Oldenburg,Fr,17,1901.888888888889
Achternstraße Oldenburg,Fr,18,1347.6666666666667
Achternstraße Oldenburg,Fr,19,714.7777777777778
Achternstraße Oldenburg,Fr,20,393.6666666666667
Achternstraße Oldenburg,Fr,21,221.33333333333334
Achternstraße Oldenburg,Fr,22,240.11111111111111
Achternstraße Oldenburg,Fr,23,196.88888888888889
Achternstraße Oldenburg,Sa,0,198.33333333333334
Achternstraße Oldenburg,Sa,1,174.22222222222223
Achternstraße Oldenburg,Sa,2,139.77777777777777
Achternstraße Oldenburg,Sa,3,127.22222222222223
Achternstraße Oldenburg,Sa,4,129.11111111111111
Achternstraße Oldenburg,Sa,5,61.333333333333336
Achternstraße Oldenburg,Sa,6,47.888888888888886
Achternstraße Oldenburg,Sa,7,73.66666666666667
Achternstraße Oldenburg,Sa,8,92.66666666666667
Achternstraße Oldenburg,Sa,9,427.6666666666667
Achternstraße Oldenburg,Sa,10,1219.4444444444443
Achternstraße Oldenburg,Sa,11,2346.222222222222
Achternstraße Oldenburg,Sa,12,3135.4444444444443
Achternstraße Oldenburg,Sa,13,3472.222222222222
Achternstraße Oldenburg,Sa,14,3429.6666666666665
Achternstraße Oldenburg,Sa,15,3588.8888888888887
Achternstraße Oldenburg,Sa,16,3453.4444444444443
Achternstraße Oldenburg,Sa,17,2693
Achternstraße Oldenburg,Sa,18,1640
Achternstraße Oldenburg,Sa,19,798.7777777777778
Achternstraße Oldenburg,Sa,20,401.8888888888889
Achternstraße Oldenburg,Sa,21,281
Achternstraße Oldenburg,Sa,22,268.6666666666667
Achternstraße Oldenburg,Sa,23,227.55555555555554
Adalbertstraße (West) Aachen,So,0,127
Adalbertstraße (West) Aachen,So,1,88.5
Adalbertstraße (West) Aachen,So,2,72.25
Adalbertstraße (West) Aachen,So,3,42
Adalbertstraße (West) Aachen,So,4,36
Adalbertstraße (West) Aachen,So,5,27.125
Adalbertstraße (West) Aachen,So,6,19.625
Adalbertstraße (West) Aachen,So,7,30.625
Adalbertstraße (West) Aachen,So,8,28.375
Adalbertstraße (West) Aachen,So,9,73.125
Adalbertstraße (West) Aachen,So,10,126.125
Adalbertstraße (West) Aachen,So,11,219.25
Adalbertstraße (West) Aachen,So,12,268.875
Adalbertstraße (West) Aachen,So,13,363.625
Adalbertstraße (West) Aachen,So,14,376.125
Adalbertstraße (West) Aachen,So,15,376.5
Adalbertstraße (West) Aachen,So,16,391.125
Adalbertstraße (West) Aachen,So,17,335.875
Adalbertstraße (West) Aachen,So,18,259
Adalbertstraße (West) Aachen,So,19,203.875
Adalbertstraße (West) Aachen,So,20,155.625
Adalbertstraße (West) Aachen,So,21,113.375
Adalbertstraße (West) Aachen,So,22,68
Adalbertstraße (West) Aachen,So,23,45.625
Adalbertstraße (West) Aachen,Mo,0,35.5
Adalbertstraße (West) Aachen,Mo,1,19.25
Adalbertstraße (West) Aachen,Mo,2,9.25
Adalbertstraße (West) Aachen,Mo,3,7.25
Adalbertstraße (West) Aachen,Mo,4,9.125
Adalbertstraße (West) Aachen,Mo,5,18.5
Adalbertstraße (West) Aachen,Mo,6,58.625
Adalbertstraße (West) Aachen,Mo,7,135.875
Adalbertstraße (West) Aachen,Mo,8,260.875
Adalbertstraße (West) Aachen,Mo,9,502.25
Adalbertstraße (West) Aachen,Mo,10,1112.125
Adalbertstraße (West) Aachen,Mo,11,1688.625
Adalbertstraße (West) Aachen,Mo,12,2137.75
Adalbertstraße (West) Aachen,Mo,13,2423.25
Adalbertstraße (West) Aachen,Mo,14,2278.75
Adalbertstraße (West) Aachen,Mo,15,2302.125
Adalbertstraße (West) Aachen,Mo,16,2369
Adalbertstraße (West) Aachen,Mo,17,2117.375
Adalbertstraße (West) Aachen,Mo,18,1670
Adalbertstraße (West) Aachen,Mo,19,954.375
Adalbertstraße (West) Aachen,Mo,20,322
Adalbertstraße (West) Aachen,Mo,21,132.375
Adalbertstraße (West) Aachen,Mo,22,90.75
Adalbertstraße (West) Aachen,Mo,23,67.25
Adalbertstraße (West) Aachen,Di,0,34.875
Adalbertstraße (West) Aachen,Di,1,18.625
Adalbertstraße (West) Aachen,Di,2,10.625
Adalbertstraße (West) Aachen,Di,3,7.875
Adalbertstraße (West) Aachen,Di,4,9
Adalbertstraße (West) Aachen,Di,5,20.125
