,id,name,date,gmap_score,hystreet_score,cycle_score
0,08425,Alb-Donau-Kreis,2020-03-13,0.87,0.52,0.49
1,08425,Alb-Donau-Kreis,2020-03-14,0.08,1.0,0.32
2,08425,Alb-Donau-Kreis,2020-03-15,0.33,0.72,0.52
3,08425,Alb-Donau-Kreis,2020-03-16,0.53,0.08,0.46
4,08425,Alb-Donau-Kreis,2020-03-17,0.78,0.75,0.15
5,08425,Alb-Donau-Kreis,2020-03-18,0.76,1.0,0.87
6,08425,Alb-Donau-Kreis,2020-03-19,0.29,0.5,0.6
7,08425,Alb-Donau-Kreis,2020-03-20,0.01,0.49,0.71
8,08425,Alb-Donau-Kreis,2020-03-21,0.08,0.59,0.24
9,08425,Alb-Donau-Kreis,2020-03-22,0.8,0.65,0.66
10,08115,Böblingen,2020-03-13,0.9,0.19,0.71
11,08115,Böblingen,2020-03-14,0.43,0.09,0.54
12,08115,Böblingen,2020-03-15,0.21,0.42,0.51
13,08115,Böblingen,2020-03-16,0.42,0.68,0.14
14,08115,Böblingen,2020-03-17,0.98,0.74,0.28
15,08115,Böblingen,2020-03-18,0.12,0.3,0.4
16,08115,Böblingen,2020-03-19,0.66,0.89,0.29
17,08115,Böblingen,2020-03-20,0.12,0.38,0.92
18,08115,Böblingen,2020-03-21,0.02,0.47,0.04
19,08115,Böblingen,2020-03-22,0.34,0.74,0.16
20,08211,Baden-Baden,2020-03-13,0.8,0.8,0.01
21,08211,Baden-Baden,2020-03-14,0.8,0.83,0.06
22,08211,Baden-Baden,2020-03-15,0.8,0.18,0.01
23,08211,Baden-Baden,2020-03-16,0.61,0.55,0.4
24,08211,Baden-Baden,2020-03-17,0.74,0.61,0.01
25,08211,Baden-Baden,2020-03-18,0.47,0.94,0.55
26,08211,Baden-Baden,2020-03-19,0.48,0.07,0.63
27,08211,Baden-Baden,2020-03-20,0.23,0.53,0.33
28,08211,Baden-Baden,2020-03-21,0.69,0.46,0.68
29,08211,Baden-Baden,2020-03-22,0.6,0.13,0.37
30,08426,Biberach,2020-03-13,0.32,0.21,0.31
31,08426,Biberach,2020-03-14,0.48,0.36,0.95
32,08426,Biberach,2020-03-15,0.08,0.93,0.3
33,08426,Biberach,2020-03-16,0.6,0.53,0.89
34,08426,Biberach,2020-03-17,0.91,0.94,0.11
35,08426,Biberach,2020-03-18,0.07,0.78,0.41
36,08426,Biberach,2020-03-19,0.22,0.5,0.0
37,08426,Biberach,2020-03-20,0.7,0.34,0.5
38,08426,Biberach,2020-03-21,0.35,0.21,0.35
39,08426,Biberach,2020-03-22,0.11,0.61,0.97
40,08435,Bodenseekreis,2020-03-13,0.55,0.39,0.03
41,08435,Bodenseekreis,2020-03-14,0.75,0.13,0.05
42,08435,Bodenseekreis,2020-03-15,0.02,0.98,0.39
43,08435,Bodenseekreis,2020-03-16,0.88,0.83,0.05
44,08435,Bodenseekreis,2020-03-17,0.94,0.73,0.38
45,08435,Bodenseekreis,2020-03-18,0.4,0.64,0.64
46,08435,Bodenseekreis,2020-03-19,0.24,1.0,0.36
47,08435,Bodenseekreis,2020-03-20,0.5,0.93,0.51
48,08435,Bodenseekreis,2020-03-21,0.16,0.06,0.14
49,08435,Bodenseekreis,2020-03-22,0.62,0.27,0.63
50,08315,Breisgau-Hochschwarzwald,2020-03-13,0.59,0.57,0.37
51,08315,Breisgau-Hochschwarzwald,2020-03-14,0.92,0.98,0.32
52,08315,Breisgau-Hochschwarzwald,2020-03-15,0.09,0.25,0.94
53,08315,Breisgau-Hochschwarzwald,2020-03-16,0.49,0.97,0.16
54,08315,Breisgau-Hochschwarzwald,2020-03-17,0.47,0.16,0.38
55,08315,Breisgau-Hochschwarzwald,2020-03-18,0.27,0.18,0.19
56,08315,Breisgau-Hochschwarzwald,2020-03-19,0.43,0.65,0.66
57,08315,Breisgau-Hochschwarzwald,2020-03-20,0.25,0.65,0.63
58,08315,Breisgau-Hochschwarzwald,2020-03-21,0.84,0.38,0.34
59,08315,Breisgau-Hochschwarzwald,2020-03-22,0.31,0.27,0.85
60,08235,Calw,2020-03-13,0.85,0.69,0.14
61,08235,Calw,2020-03-14,0.83,0.62,0.1
62,08235,Calw,2020-03-15,0.95,0.39,0.12
63,08235,Calw,2020-03-16,0.34,0.76,0.85
64,08235,Calw,2020-03-17,0.73,0.41,0.17
65,08235,Calw,2020-03-18,0.7,0.37,0.42
66,08235,Calw,2020-03-19,0.84,0.91,0.11
67,08235,Calw,2020-03-20,0.17,0.44,0.11
68,08235,Calw,2020-03-21,0.41,0.23,0.9
69,08235,Calw,2020-03-22,0.29,0.01,0.99
70,08316,Emmendingen,2020-03-13,0.27,0.96,0.16
71,08316,Emmendingen,2020-03-14,0.38,0.13,0.54
72,08316,Emmendingen,2020-03-15,0.89,0.86,0.25
73,08316,Emmendingen,2020-03-16,0.75,0.44,0.06
74,08316,Emmendingen,2020-03-17,0.41,0.15,0.7
75,08316,Emmendingen,2020-03-18,0.36,0.46,0.94
76,08316,Emmendingen,2020-03-19,0.19,0.63,0.75
77,08316,Emmendingen,2020-03-20,0.18,0.77,0.06
